game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
AWw5iIyS,z7B5K,1452,41,https://lichess.org/AWw5iIyS#42
mPTGhBE1,HFlRr,1328,63,https://lichess.org/mPTGhBE1#64
gNy0qCTc,OLDTv,1325,59,https://lichess.org/gNy0qCTc#60
mKZItxpu,XY8mL,1475,55,https://lichess.org/mKZItxpu#56
rxL7gOHz,97T32,1313,55,https://lichess.org/rxL7gOHz#56
mv4JtdFc,dqlAK,1388,74,https://lichess.org/mv4JtdFc#75
ywL9bMCR,BoC8t,1360,32,https://lichess.org/ywL9bMCR#33
Z2P8y3n8,nNEK3,1065,85,https://lichess.org/Z2P8y3n8#86
qc0Su8oP,i961h,1287,155,https://lichess.org/qc0Su8oP#156
fQA5V8Ee,GicCM,1307,35,https://lichess.org/fQA5V8Ee#36
snHiH8Kt,ut3Nx,1274,25,https://lichess.org/snHiH8Kt#26
Ol3maJOp,z0JJS,1112,67,https://lichess.org/Ol3maJOp#68
UfBKWKAG,4tVLc,1272,67,https://lichess.org/UfBKWKAG#68
bDqXsZHv,eTNFW,1253,81,https://lichess.org/bDqXsZHv#82
hhNlLb33,OoKnx,1528,19,https://lichess.org/hhNlLb33#20
bRHQC30u,JHP5m,1285,74,https://lichess.org/bRHQC30u#75
l52PNCAD,acuvg,1312,40,https://lichess.org/l52PNCAD#41
si9YOo5s,5zGQW,1465,66,https://lichess.org/si9YOo5s#67
fVUBUit7,8Upjr,1401,80,https://lichess.org/fVUBUit7#81
1vJJes7t,A4pQS,1107,40,https://lichess.org/1vJJes7t#41
qhRoUjpU,RYMhj,1082,26,https://lichess.org/qhRoUjpU#27
0YmQwMzs,ZxPfX,1430,86,https://lichess.org/0YmQwMzs#87
yaYEsm4Y,8CVDO,1049,40,https://lichess.org/yaYEsm4Y#41
9HgMLmJA,Lchef,1177,62,https://lichess.org/9HgMLmJA#63
PtMHaK0g,Ios7N,1246,74,https://lichess.org/PtMHaK0g#75
eX2LnqZE,JNU8h,1302,26,https://lichess.org/eX2LnqZE#27
72My14Ea,Xo51p,1295,98,https://lichess.org/72My14Ea#99
SuMEbKWJ,voGVs,1300,41,https://lichess.org/SuMEbKWJ#42
